response,instruction,context,combined_column,combined_column_len
"SELECT branding FROM table_name_27 WHERE frequency = ""1080khz""",Which Branding has a frequency of 1080khz?,"CREATE TABLE table_name_27 (branding VARCHAR, frequency VARCHAR)","Instruction: Which Branding has a frequency of 1080khz?
Context: CREATE TABLE table_name_27 (branding VARCHAR, frequency VARCHAR)
Response: SELECT branding FROM table_name_27 WHERE frequency = ""1080khz""",202
"SELECT first_district FROM table_name_9 WHERE fifth_district = ""prudy adam""",Who's the First District with a Fifth District of prudy adam?,"CREATE TABLE table_name_9 (first_district VARCHAR, fifth_district VARCHAR)","Instruction: Who's the First District with a Fifth District of prudy adam?
Context: CREATE TABLE table_name_9 (first_district VARCHAR, fifth_district VARCHAR)
Response: SELECT first_district FROM table_name_9 WHERE fifth_district = ""prudy adam""",244
"SELECT COUNT(wins) FROM table_name_99 WHERE year = ""2010"" AND matches > 14","What is the total number of wins in 2010, when there were more than 14 matches?","CREATE TABLE table_name_99 (wins VARCHAR, year VARCHAR, matches VARCHAR)","Instruction: What is the total number of wins in 2010, when there were more than 14 matches?
Context: CREATE TABLE table_name_99 (wins VARCHAR, year VARCHAR, matches VARCHAR)
Response: SELECT COUNT(wins) FROM table_name_99 WHERE year = ""2010"" AND matches > 14",259
"SELECT MAX(game) FROM table_name_11 WHERE high_rebounds = ""evans (7)"" AND high_assists = ""evans, ollie (3)""","Which game has a high rebound of Evans (7) and a high assist of Evans, Ollie (3)?","CREATE TABLE table_name_11 (game INTEGER, high_rebounds VARCHAR, high_assists VARCHAR)","Instruction: Which game has a high rebound of Evans (7) and a high assist of Evans, Ollie (3)?
Context: CREATE TABLE table_name_11 (game INTEGER, high_rebounds VARCHAR, high_assists VARCHAR)
Response: SELECT MAX(game) FROM table_name_11 WHERE high_rebounds = ""evans (7)"" AND high_assists = ""evans, ollie (3)""",308
"SELECT total FROM table_name_95 WHERE player = ""robbie winters""",What is the Total with a Player named robbie winters?,"CREATE TABLE table_name_95 (total VARCHAR, player VARCHAR)","Instruction: What is the Total with a Player named robbie winters?
Context: CREATE TABLE table_name_95 (total VARCHAR, player VARCHAR)
Response: SELECT total FROM table_name_95 WHERE player = ""robbie winters""",208
"SELECT club FROM table_name_79 WHERE tries_for = ""101""",Which club has 101 tries for?,"CREATE TABLE table_name_79 (club VARCHAR, tries_for VARCHAR)","Instruction: Which club has 101 tries for?
Context: CREATE TABLE table_name_79 (club VARCHAR, tries_for VARCHAR)
Response: SELECT club FROM table_name_79 WHERE tries_for = ""101""",177
"SELECT position FROM table_name_59 WHERE player = ""tiffany garofano (2)""",What is the position of player Tiffany Garofano (2)?,"CREATE TABLE table_name_59 (position VARCHAR, player VARCHAR)","Instruction: What is the position of player Tiffany Garofano (2)?
Context: CREATE TABLE table_name_59 (position VARCHAR, player VARCHAR)
Response: SELECT position FROM table_name_59 WHERE player = ""tiffany garofano (2)""",219
"SELECT date FROM table_name_58 WHERE result = ""86-87""",Which Date has Result of 86-87?,"CREATE TABLE table_name_58 (date VARCHAR, result VARCHAR)","Instruction: Which Date has Result of 86-87?
Context: CREATE TABLE table_name_58 (date VARCHAR, result VARCHAR)
Response: SELECT date FROM table_name_58 WHERE result = ""86-87""",175
"SELECT tournament FROM table_name_19 WHERE partner = ""martín rodríguez""",Which Tournament has a Partner of martín rodríguez?,"CREATE TABLE table_name_19 (tournament VARCHAR, partner VARCHAR)","Instruction: Which Tournament has a Partner of martín rodríguez?
Context: CREATE TABLE table_name_19 (tournament VARCHAR, partner VARCHAR)
Response: SELECT tournament FROM table_name_19 WHERE partner = ""martín rodríguez""",220
"SELECT incumbent FROM table_1341577_10 WHERE district = ""Florida 5""",what's incumbent with district being florida 5,"CREATE TABLE table_1341577_10 (incumbent VARCHAR, district VARCHAR)","Instruction: what's incumbent with district being florida 5
Context: CREATE TABLE table_1341577_10 (incumbent VARCHAR, district VARCHAR)
Response: SELECT incumbent FROM table_1341577_10 WHERE district = ""Florida 5""",214
"SELECT winning_driver FROM table_1140114_5 WHERE circuit = ""Sachsenring""",Which driver won at the Sachsenring circuit?,"CREATE TABLE table_1140114_5 (winning_driver VARCHAR, circuit VARCHAR)","Instruction: Which driver won at the Sachsenring circuit?
Context: CREATE TABLE table_1140114_5 (winning_driver VARCHAR, circuit VARCHAR)
Response: SELECT winning_driver FROM table_1140114_5 WHERE circuit = ""Sachsenring""",220
"SELECT MIN(pick) FROM table_name_35 WHERE position = ""of"" AND team = ""chicago white sox""",What was the lowest pick when the position was OF with the Chicago White Sox?,"CREATE TABLE table_name_35 (pick INTEGER, position VARCHAR, team VARCHAR)","Instruction: What was the lowest pick when the position was OF with the Chicago White Sox?
Context: CREATE TABLE table_name_35 (pick INTEGER, position VARCHAR, team VARCHAR)
Response: SELECT MIN(pick) FROM table_name_35 WHERE position = ""of"" AND team = ""chicago white sox""",272
"SELECT winner FROM table_name_98 WHERE prize = ""€880,000""","Who is the Winner, when the Prize is €880,000?","CREATE TABLE table_name_98 (winner VARCHAR, prize VARCHAR)","Instruction: Who is the Winner, when the Prize is €880,000?
Context: CREATE TABLE table_name_98 (winner VARCHAR, prize VARCHAR)
Response: SELECT winner FROM table_name_98 WHERE prize = ""€880,000""",195
"SELECT MIN(rank) FROM table_name_31 WHERE name = ""paul biedermann""",What is the lowest rank that has paul biedermann as the name?,"CREATE TABLE table_name_31 (rank INTEGER, name VARCHAR)","Instruction: What is the lowest rank that has paul biedermann as the name?
Context: CREATE TABLE table_name_31 (rank INTEGER, name VARCHAR)
Response: SELECT MIN(rank) FROM table_name_31 WHERE name = ""paul biedermann""",216
"SELECT completions FROM table_name_36 WHERE yards = ""10,098""","Which Completions has Yards of 10,098?","CREATE TABLE table_name_36 (completions VARCHAR, yards VARCHAR)","Instruction: Which Completions has Yards of 10,098?
Context: CREATE TABLE table_name_36 (completions VARCHAR, yards VARCHAR)
Response: SELECT completions FROM table_name_36 WHERE yards = ""10,098""",195
SELECT COUNT(*) FROM stadium,How many stadiums are there?,CREATE TABLE stadium (Id VARCHAR),"Instruction: How many stadiums are there?
Context: CREATE TABLE stadium (Id VARCHAR)
Response: SELECT COUNT(*) FROM stadium",123
"SELECT MAX(overall) FROM table_name_40 WHERE round > 8 AND player = ""pavol demitra""",What is the highest overall for a round larger than 8 for pavol demitra?,"CREATE TABLE table_name_40 (overall INTEGER, round VARCHAR, player VARCHAR)","Instruction: What is the highest overall for a round larger than 8 for pavol demitra?
Context: CREATE TABLE table_name_40 (overall INTEGER, round VARCHAR, player VARCHAR)
Response: SELECT MAX(overall) FROM table_name_40 WHERE round > 8 AND player = ""pavol demitra""",264
"SELECT position FROM table_23585197_3 WHERE artist = ""Genjor McNell""",What is the position of the song thar genjor mcnell performed?,"CREATE TABLE table_23585197_3 (position VARCHAR, artist VARCHAR)","Instruction: What is the position of the song thar genjor mcnell performed?
Context: CREATE TABLE table_23585197_3 (position VARCHAR, artist VARCHAR)
Response: SELECT position FROM table_23585197_3 WHERE artist = ""Genjor McNell""",228
"SELECT MIN(won) FROM table_15405904_1 WHERE team = ""Ypiranga-SP""",When the team is ypiranga-sp what is the number of won games?,"CREATE TABLE table_15405904_1 (won INTEGER, team VARCHAR)","Instruction: When the team is ypiranga-sp what is the number of won games?
Context: CREATE TABLE table_15405904_1 (won INTEGER, team VARCHAR)
Response: SELECT MIN(won) FROM table_15405904_1 WHERE team = ""Ypiranga-SP""",216
"SELECT title FROM table_28195971_1 WHERE directed_by = ""David Solomon"" AND written_by = ""Marti Noxon""",What are the title(s) of episodes directed by david solomon and written by marti noxon?,"CREATE TABLE table_28195971_1 (title VARCHAR, directed_by VARCHAR, written_by VARCHAR)","Instruction: What are the title(s) of episodes directed by david solomon and written by marti noxon?
Context: CREATE TABLE table_28195971_1 (title VARCHAR, directed_by VARCHAR, written_by VARCHAR)
Response: SELECT title FROM table_28195971_1 WHERE directed_by = ""David Solomon"" AND written_by = ""Marti Noxon""",308
"SELECT athlete FROM table_name_97 WHERE place = 1 AND year < 1988 AND country = ""gre"" AND time = ""21:57:00""","Which Athlete has a Place of 1, and a Year smaller than 1988, and a Country of gre, and a Time of 21:57:00?","CREATE TABLE table_name_97 (athlete VARCHAR, time VARCHAR, country VARCHAR, place VARCHAR, year VARCHAR)","Instruction: Which Athlete has a Place of 1, and a Year smaller than 1988, and a Country of gre, and a Time of 21:57:00?
Context: CREATE TABLE table_name_97 (athlete VARCHAR, time VARCHAR, country VARCHAR, place VARCHAR, year VARCHAR)
Response: SELECT athlete FROM table_name_97 WHERE place = 1 AND year < 1988 AND country = ""gre"" AND time = ""21:57:00""",352
"SELECT COUNT(date) FROM table_16729063_2 WHERE game_site = ""Cleveland Stadium""",How many games were played at Cleveland Stadium?,"CREATE TABLE table_16729063_2 (date VARCHAR, game_site VARCHAR)","Instruction: How many games were played at Cleveland Stadium?
Context: CREATE TABLE table_16729063_2 (date VARCHAR, game_site VARCHAR)
Response: SELECT COUNT(date) FROM table_16729063_2 WHERE game_site = ""Cleveland Stadium""",223
"SELECT Nationality, COUNT(*) FROM people GROUP BY Nationality",What are different nationalities of people and the corresponding number of people from each nation?,CREATE TABLE people (Nationality VARCHAR),"Instruction: What are different nationalities of people and the corresponding number of people from each nation?
Context: CREATE TABLE people (Nationality VARCHAR)
Response: SELECT Nationality, COUNT(*) FROM people GROUP BY Nationality",235
SELECT city FROM city WHERE regional_population > 10000000,Please give me a list of cities whose regional population is over 10000000.,"CREATE TABLE city (city VARCHAR, regional_population INTEGER)","Instruction: Please give me a list of cities whose regional population is over 10000000.
Context: CREATE TABLE city (city VARCHAR, regional_population INTEGER)
Response: SELECT city FROM city WHERE regional_population > 10000000",228
"SELECT AVG(100 AS s) FROM table_name_51 WHERE player = ""tim bresnan""",How many average 100s were there for Tim Bresnan?,CREATE TABLE table_name_51 (player VARCHAR),"Instruction: How many average 100s were there for Tim Bresnan?
Context: CREATE TABLE table_name_51 (player VARCHAR)
Response: SELECT AVG(100 AS s) FROM table_name_51 WHERE player = ""tim bresnan""",194
"SELECT opponent FROM table_name_44 WHERE res = ""win"" AND time = ""1:10""",Which Opponent had a Win as Res and a Time of 1:10?,"CREATE TABLE table_name_44 (opponent VARCHAR, res VARCHAR, time VARCHAR)","Instruction: Which Opponent had a Win as Res and a Time of 1:10?
Context: CREATE TABLE table_name_44 (opponent VARCHAR, res VARCHAR, time VARCHAR)
Response: SELECT opponent FROM table_name_44 WHERE res = ""win"" AND time = ""1:10""",227
"SELECT college FROM table_10361625_1 WHERE player_name = ""Keith Hartwig""",Where is the college where Keith Hartwig plays?,"CREATE TABLE table_10361625_1 (college VARCHAR, player_name VARCHAR)","Instruction: Where is the college where Keith Hartwig plays?
Context: CREATE TABLE table_10361625_1 (college VARCHAR, player_name VARCHAR)
Response: SELECT college FROM table_10361625_1 WHERE player_name = ""Keith Hartwig""",221
"SELECT exited FROM table_name_18 WHERE celebrity = ""lucy benjamin""",When did lucy benjamin exit?,"CREATE TABLE table_name_18 (exited VARCHAR, celebrity VARCHAR)","Instruction: When did lucy benjamin exit?
Context: CREATE TABLE table_name_18 (exited VARCHAR, celebrity VARCHAR)
Response: SELECT exited FROM table_name_18 WHERE celebrity = ""lucy benjamin""",190
SELECT place FROM table_name_81 WHERE score = 68 - 72 - 77 - 74 = 291,what is the place when the score is 68-72-77-74=291?,"CREATE TABLE table_name_81 (place VARCHAR, score VARCHAR)","Instruction: what is the place when the score is 68-72-77-74=291?
Context: CREATE TABLE table_name_81 (place VARCHAR, score VARCHAR)
Response: SELECT place FROM table_name_81 WHERE score = 68 - 72 - 77 - 74 = 291",212
"SELECT record FROM table_name_10 WHERE score = ""118–105""",What was the Record of the game with a Score of 118–105?,"CREATE TABLE table_name_10 (record VARCHAR, score VARCHAR)","Instruction: What was the Record of the game with a Score of 118–105?
Context: CREATE TABLE table_name_10 (record VARCHAR, score VARCHAR)
Response: SELECT record FROM table_name_10 WHERE score = ""118–105""",204
"SELECT name FROM table_name_84 WHERE date = ""17 march 1943"" AND sunk_by = ""u-305""",What is the name of the ship sunk by U-305 on 17 March 1943?,"CREATE TABLE table_name_84 (name VARCHAR, date VARCHAR, sunk_by VARCHAR)","Instruction: What is the name of the ship sunk by U-305 on 17 March 1943?
Context: CREATE TABLE table_name_84 (name VARCHAR, date VARCHAR, sunk_by VARCHAR)
Response: SELECT name FROM table_name_84 WHERE date = ""17 march 1943"" AND sunk_by = ""u-305""",247
"SELECT venue FROM table_name_76 WHERE away_team = ""footscray""",Where did Footscray play as the away team?,"CREATE TABLE table_name_76 (venue VARCHAR, away_team VARCHAR)","Instruction: Where did Footscray play as the away team?
Context: CREATE TABLE table_name_76 (venue VARCHAR, away_team VARCHAR)
Response: SELECT venue FROM table_name_76 WHERE away_team = ""footscray""",198
"SELECT kitmaker FROM table_name_84 WHERE head_coach = ""uwe rapolder""",Who is the kitmaker for the team that Uwe Rapolder is the head coach of.,"CREATE TABLE table_name_84 (kitmaker VARCHAR, head_coach VARCHAR)","Instruction: Who is the kitmaker for the team that Uwe Rapolder is the head coach of.
Context: CREATE TABLE table_name_84 (kitmaker VARCHAR, head_coach VARCHAR)
Response: SELECT kitmaker FROM table_name_84 WHERE head_coach = ""uwe rapolder""",239
SELECT result FROM table_17294353_1 WHERE attendance = 18304,"In the game with an attendance of 18304, what was the final score?","CREATE TABLE table_17294353_1 (result VARCHAR, attendance VARCHAR)","Instruction: In the game with an attendance of 18304, what was the final score?
Context: CREATE TABLE table_17294353_1 (result VARCHAR, attendance VARCHAR)
Response: SELECT result FROM table_17294353_1 WHERE attendance = 18304",226
"SELECT MAX(bronze) FROM table_name_13 WHERE nation = ""united states"" AND silver > 1",What is the highest number of bronze for the United States with more than 1 silver?,"CREATE TABLE table_name_13 (bronze INTEGER, nation VARCHAR, silver VARCHAR)","Instruction: What is the highest number of bronze for the United States with more than 1 silver?
Context: CREATE TABLE table_name_13 (bronze INTEGER, nation VARCHAR, silver VARCHAR)
Response: SELECT MAX(bronze) FROM table_name_13 WHERE nation = ""united states"" AND silver > 1",275
"SELECT city___state FROM table_name_45 WHERE winner = ""darren hossack"" AND circuit = ""phillip island grand prix circuit""",What was the city for the winner Darren Hossack at the circuit of phillip island grand prix circuit?,"CREATE TABLE table_name_45 (city___state VARCHAR, winner VARCHAR, circuit VARCHAR)","Instruction: What was the city for the winner Darren Hossack at the circuit of phillip island grand prix circuit?
Context: CREATE TABLE table_name_45 (city___state VARCHAR, winner VARCHAR, circuit VARCHAR)
Response: SELECT city___state FROM table_name_45 WHERE winner = ""darren hossack"" AND circuit = ""phillip island grand prix circuit""",336
"SELECT additional_major_sponsor_s_ FROM table_name_91 WHERE main_colour_s_ = ""red"" AND year > 1991",What is the additional major sponsor(s) that has red as its main color after 1991?,"CREATE TABLE table_name_91 (additional_major_sponsor_s_ VARCHAR, main_colour_s_ VARCHAR, year VARCHAR)","Instruction: What is the additional major sponsor(s) that has red as its main color after 1991?
Context: CREATE TABLE table_name_91 (additional_major_sponsor_s_ VARCHAR, main_colour_s_ VARCHAR, year VARCHAR)
Response: SELECT additional_major_sponsor_s_ FROM table_name_91 WHERE main_colour_s_ = ""red"" AND year > 1991",316
"SELECT AVG(total) FROM table_name_8 WHERE 2010 = ""1st""",What is the average total that is 1st in 2010?,CREATE TABLE table_name_8 (total INTEGER),"Instruction: What is the average total that is 1st in 2010?
Context: CREATE TABLE table_name_8 (total INTEGER)
Response: SELECT AVG(total) FROM table_name_8 WHERE 2010 = ""1st""",175
"SELECT away_team FROM table_name_35 WHERE venue = ""kardinia park""",Which away team played at Kardinia Park?,"CREATE TABLE table_name_35 (away_team VARCHAR, venue VARCHAR)","Instruction: Which away team played at Kardinia Park?
Context: CREATE TABLE table_name_35 (away_team VARCHAR, venue VARCHAR)
Response: SELECT away_team FROM table_name_35 WHERE venue = ""kardinia park""",200
"SELECT test_result, COUNT(*) FROM Student_Tests_Taken GROUP BY test_result ORDER BY COUNT(*) DESC",List each test result and its count in descending order of count.,CREATE TABLE Student_Tests_Taken (test_result VARCHAR),"Instruction: List each test result and its count in descending order of count.
Context: CREATE TABLE Student_Tests_Taken (test_result VARCHAR)
Response: SELECT test_result, COUNT(*) FROM Student_Tests_Taken GROUP BY test_result ORDER BY COUNT(*) DESC",250
"SELECT percent_for FROM table_120778_1 WHERE jurisdiction = ""Manitoba""",What is the percent for in manitoba?,"CREATE TABLE table_120778_1 (percent_for VARCHAR, jurisdiction VARCHAR)","Instruction: What is the percent for in manitoba?
Context: CREATE TABLE table_120778_1 (percent_for VARCHAR, jurisdiction VARCHAR)
Response: SELECT percent_for FROM table_120778_1 WHERE jurisdiction = ""Manitoba""",211
"SELECT attendance FROM table_name_97 WHERE final = ""quarter (1)""",What was the attendance for the final quarter (1)?,"CREATE TABLE table_name_97 (attendance VARCHAR, final VARCHAR)","Instruction: What was the attendance for the final quarter (1)?
Context: CREATE TABLE table_name_97 (attendance VARCHAR, final VARCHAR)
Response: SELECT attendance FROM table_name_97 WHERE final = ""quarter (1)""",210
"SELECT races FROM table_name_36 WHERE poles = ""test driver"" AND team_name = ""lucky strike honda racing f1 team""",Which race has a pole of test driver and a team name of Lucky Strike Honda Racing f1 team?,"CREATE TABLE table_name_36 (races VARCHAR, poles VARCHAR, team_name VARCHAR)","Instruction: Which race has a pole of test driver and a team name of Lucky Strike Honda Racing f1 team?
Context: CREATE TABLE table_name_36 (races VARCHAR, poles VARCHAR, team_name VARCHAR)
Response: SELECT races FROM table_name_36 WHERE poles = ""test driver"" AND team_name = ""lucky strike honda racing f1 team""",311
"SELECT record FROM table_name_80 WHERE game > 55 AND date = ""march 25""","What is Record, when Game is greater than 55, and when Date is ""March 25""?","CREATE TABLE table_name_80 (record VARCHAR, game VARCHAR, date VARCHAR)","Instruction: What is Record, when Game is greater than 55, and when Date is ""March 25""?
Context: CREATE TABLE table_name_80 (record VARCHAR, game VARCHAR, date VARCHAR)
Response: SELECT record FROM table_name_80 WHERE game > 55 AND date = ""march 25""",249
"SELECT team_name FROM table_name_25 WHERE poles = ""0"" AND final_placing = ""29th""","Which Team Name has Poles of 0, and a Final Placing of 29th?","CREATE TABLE table_name_25 (team_name VARCHAR, poles VARCHAR, final_placing VARCHAR)","Instruction: Which Team Name has Poles of 0, and a Final Placing of 29th?
Context: CREATE TABLE table_name_25 (team_name VARCHAR, poles VARCHAR, final_placing VARCHAR)
Response: SELECT team_name FROM table_name_25 WHERE poles = ""0"" AND final_placing = ""29th""",258
"SELECT COUNT(duration__days_) FROM table_245801_1 WHERE crew = ""Vladimir Vasyutin , Alexander Volkov""","Name the duration for  vladimir vasyutin , alexander volkov","CREATE TABLE table_245801_1 (duration__days_ VARCHAR, crew VARCHAR)","Instruction: Name the duration for  vladimir vasyutin , alexander volkov
Context: CREATE TABLE table_245801_1 (duration__days_ VARCHAR, crew VARCHAR)
Response: SELECT COUNT(duration__days_) FROM table_245801_1 WHERE crew = ""Vladimir Vasyutin , Alexander Volkov""",261
SELECT name FROM table_name_72 WHERE rank = 9,Who is at rank 9?,"CREATE TABLE table_name_72 (name VARCHAR, rank VARCHAR)","Instruction: Who is at rank 9?
Context: CREATE TABLE table_name_72 (name VARCHAR, rank VARCHAR)
Response: SELECT name FROM table_name_72 WHERE rank = 9",151
SELECT COUNT(part_6) FROM table_13241993_3 WHERE episode__number = 5,How many part 6 parts are there in the episode number 5?,"CREATE TABLE table_13241993_3 (part_6 VARCHAR, episode__number VARCHAR)","Instruction: How many part 6 parts are there in the episode number 5?
Context: CREATE TABLE table_13241993_3 (part_6 VARCHAR, episode__number VARCHAR)
Response: SELECT COUNT(part_6) FROM table_13241993_3 WHERE episode__number = 5",229
"SELECT date_of_birth FROM table_12134383_1 WHERE end_of_term = ""5July1978""",what's the date of birth with end of term being 5july1978,"CREATE TABLE table_12134383_1 (date_of_birth VARCHAR, end_of_term VARCHAR)","Instruction: what's the date of birth with end of term being 5july1978
Context: CREATE TABLE table_12134383_1 (date_of_birth VARCHAR, end_of_term VARCHAR)
Response: SELECT date_of_birth FROM table_12134383_1 WHERE end_of_term = ""5July1978""",239
"SELECT airport FROM table_name_71 WHERE city = ""macau""",Which airport is associated with Macau?,"CREATE TABLE table_name_71 (airport VARCHAR, city VARCHAR)","Instruction: Which airport is associated with Macau?
Context: CREATE TABLE table_name_71 (airport VARCHAR, city VARCHAR)
Response: SELECT airport FROM table_name_71 WHERE city = ""macau""",185
"SELECT COUNT(attendance) FROM table_name_11 WHERE decision = ""mclean"" AND home = ""calgary""",How many people attended the game when Calgary was the home team and the decision was McLean?,"CREATE TABLE table_name_11 (attendance VARCHAR, decision VARCHAR, home VARCHAR)","Instruction: How many people attended the game when Calgary was the home team and the decision was McLean?
Context: CREATE TABLE table_name_11 (attendance VARCHAR, decision VARCHAR, home VARCHAR)
Response: SELECT COUNT(attendance) FROM table_name_11 WHERE decision = ""mclean"" AND home = ""calgary""",296
"SELECT DISTINCT Secretary_Vote FROM VOTING_RECORD WHERE ELECTION_CYCLE = ""Fall""",What are the distinct secretary votes in the fall election cycle?,"CREATE TABLE VOTING_RECORD (Secretary_Vote VARCHAR, ELECTION_CYCLE VARCHAR)","Instruction: What are the distinct secretary votes in the fall election cycle?
Context: CREATE TABLE VOTING_RECORD (Secretary_Vote VARCHAR, ELECTION_CYCLE VARCHAR)
Response: SELECT DISTINCT Secretary_Vote FROM VOTING_RECORD WHERE ELECTION_CYCLE = ""Fall""",253
SELECT country FROM table_name_18 WHERE 2012 > 0 AND 2009 > 0 AND 2008 = 0 AND 2004 > 0,"Which country has more than 0 in 2012 and 2009, 0 in 2008 and more than 0 in 2004?",CREATE TABLE table_name_18 (country VARCHAR),"Instruction: Which country has more than 0 in 2012 and 2009, 0 in 2008 and more than 0 in 2004?
Context: CREATE TABLE table_name_18 (country VARCHAR)
Response: SELECT country FROM table_name_18 WHERE 2012 > 0 AND 2009 > 0 AND 2008 = 0 AND 2004 > 0",247
"SELECT date_of_debut FROM table_11585313_1 WHERE date_of_birth = ""24-10-1887""",What is the date of debut that has a date of birth listed at 24-10-1887?,"CREATE TABLE table_11585313_1 (date_of_debut VARCHAR, date_of_birth VARCHAR)","Instruction: What is the date of debut that has a date of birth listed at 24-10-1887?
Context: CREATE TABLE table_11585313_1 (date_of_debut VARCHAR, date_of_birth VARCHAR)
Response: SELECT date_of_debut FROM table_11585313_1 WHERE date_of_birth = ""24-10-1887""",259
"SELECT team_1 FROM table_name_79 WHERE team_2 = ""asante kotoko""",Which team 1 had a team 2 of Asante Kotoko?,"CREATE TABLE table_name_79 (team_1 VARCHAR, team_2 VARCHAR)","Instruction: Which team 1 had a team 2 of Asante Kotoko?
Context: CREATE TABLE table_name_79 (team_1 VARCHAR, team_2 VARCHAR)
Response: SELECT team_1 FROM table_name_79 WHERE team_2 = ""asante kotoko""",199
"SELECT period FROM table_name_9 WHERE player = ""stanislav chistov""",In which period did Stanislav Chistov get a penalty?,"CREATE TABLE table_name_9 (period VARCHAR, player VARCHAR)","Instruction: In which period did Stanislav Chistov get a penalty?
Context: CREATE TABLE table_name_9 (period VARCHAR, player VARCHAR)
Response: SELECT period FROM table_name_9 WHERE player = ""stanislav chistov""",210
"SELECT opponent FROM table_name_80 WHERE loss = ""diegomar markwell""",Who's the opponent when Diegomar Markwell is the loss?,"CREATE TABLE table_name_80 (opponent VARCHAR, loss VARCHAR)","Instruction: Who's the opponent when Diegomar Markwell is the loss?
Context: CREATE TABLE table_name_80 (opponent VARCHAR, loss VARCHAR)
Response: SELECT opponent FROM table_name_80 WHERE loss = ""diegomar markwell""",214
